time,latitude,longitude,precipitation_warmest_quarter,surface-sensible-heat-flux_driest-quarter,evaporative-fraction_driest-quarter,surface-sensible-heat-flux_wettest-quarter,surface-latent-heat-flux_driest-quarter,mean_temp_warmest_quarter,surface-sensible-heat-flux_warmest-quarter,surface-sensible-heat-flux_coldest-quarter,mean_temp_wettest_quarter,surface-latent-heat-flux_warmest-quarter,surface-latent-heat-flux_coldest-quarter,volumetric-soil-water-layer-1_wettest-quarter,evaporative-fraction_warmest-quarter,mean_temp_annual,evaporative-fraction_coldest-quarter,volumetric-soil-water-layer-1_coldest-quarter,precipitaion_driest_quarter,evaporative-fraction_wettest-quarter,mean_diurnal_range,volumetric-soil-water-layer-1_warmest-quarter,surface-latent-heat-flux_wettest-quarter,precipitation_wettest_quarter,aridity_wettest-quarter,potential-evaporation_wettest-quarter,potential-evaporation_coldest-quarter,aridity_coldest-quarter,water-vapor-pressure_annual-mean,potential-evaporation_warmest-quarter,cloud-cover_annual-mean,aridity_warmest-quarter,aridity_driest-quarter,mean_temp_driest_quarter,mean_temp_coldest_quarter,volumetric-soil-water-layer-1_driest-quarter,potential-evaporation_driest-quarter,precipitation_coldest_quarter
1960,49.75,2.25,2.22E-08,-3.157946,0.91409415,-2.2705898,38.168728,289.62497,19.64298,-15.377361,282.1966,77.16586,11.039022,0.36773464,0.77890646,282.9682,0.9793129,0.37618887,1.55E-08,0.9161208,6.915326,0.27139306,46.127254,3.32E-08,0.042407166,1.48E-08,2.47E-09,0.005142409,1045.696,3.16E-08,0.68292487,0.29843852,0.06950952,281.0599,275.9627,0.32694924,1.08E-08,1.97E-08
1960,49.75,2.75,2.24E-08,-3.3983274,0.8989411,-1.5808586,34.560406,289.85468,17.203564,-15.623597,282.3008,78.433,10.944757,0.36992157,0.79839426,283.0688,0.9808302,0.37780294,1.58E-08,0.91468334,6.9850154,0.26976243,46.5591,3.35E-08,0.053777605,1.54E-08,2.38E-09,0.006965126,1047.8141,3.19E-08,0.6825455,0.30992877,0.053689167,280.80164,275.82098,0.32821456,9.69E-09,2.02E-08
1960,49.75,3.25,2.28E-08,-0.074902534,0.88536066,-2.0613484,41.77246,289.96008,16.114223,-15.701936,282.07413,81.43249,11.06553,0.37553468,0.81128234,283.065,0.9820877,0.379693,1.66E-08,0.9205716,6.9559755,0.26662034,46.96512,3.50E-08,0.033109717,1.51E-08,2.38E-09,0.009492355,1047.9384,3.27E-08,0.6827009,0.32698467,0.10970387,282.0572,275.61038,0.3155365,1.31E-08,2.15E-08
1960,49.75,3.75,2.40E-08,-0.09173298,0.8951322,-4.7309084,45.619156,289.8396,14.857563,-15.647247,281.0979,81.8724,11.048525,0.38802597,0.8214235,282.82666,0.97809464,0.38279274,1.79E-08,0.93067914,6.8722153,0.27070227,43.77479,3.79E-08,0.02914735,1.34E-08,2.22E-09,0.006347343,1041.1055,3.23E-08,0.68351376,0.31455916,0.103557855,282.13986,275.16718,0.31626466,1.41E-08,2.41E-08
1960,49.75,4.25,2.67E-08,4.1312885,0.86850655,-3.3764706,52.85479,289.5116,15.577492,-12.837112,280.64548,84.0742,8.9086895,0.39118305,0.8221898,282.37534,0.97006977,0.3851542,1.98E-08,0.93067706,6.8373537,0.27010676,42.38478,4.24E-08,0.01706929,1.24E-08,2.04E-09,0.007830912,1025.2004,3.26E-08,0.6871339,0.28397325,0.10744709,283.17596,274.52924,0.30290735,1.73E-08,2.73E-08
1960,49.75,4.75,2.90E-08,4.81326,0.8641067,-1.8423831,51.143993,289.18665,16.269487,-11.232748,280.22235,87.989456,8.177878,0.39203146,0.82529885,281.94986,0.96136874,0.3875194,2.12E-08,0.9264521,6.7493873,0.27623725,42.755737,4.53E-08,0.013076155,1.21E-08,1.88E-09,0.006782153,1009.8062,3.31E-08,0.6944286,0.2489089,0.071871296,282.42734,273.92215,0.31111944,1.66E-08,2.97E-08
1960,49.75,5.25,2.95E-08,6.796591,0.84858483,-0.8770025,50.34409,288.72272,16.693523,-10.518158,279.45627,87.511475,5.7202716,0.39223015,0.82198,281.37775,0.96880496,0.38889506,2.20E-08,0.92388177,6.638179,0.28209022,39.956596,4.69E-08,0.012817394,1.12E-08,1.34E-09,2.99E-07,985.67694,3.24E-08,0.7017412,0.20336808,0.03442669,281.7379,273.13367,0.3175829,1.62E-08,3.09E-08
1960,49.75,5.75,2.87E-08,2.2185879,0.87626934,6.3063593,36.53775,288.53445,18.470694,-9.876962,281.1961,86.40376,6.321671,0.3837218,0.8057444,281.11835,0.96751153,0.39307576,2.05E-08,0.873666,6.5298786,0.28912264,53.46498,4.30E-08,0.030980434,1.68E-08,1.38E-09,0,970.20917,3.24E-08,0.706599,0.20630799,0.01153034,279.44278,272.6958,0.34409347,1.06E-08,2.62E-08
1960,49.75,6.25,2.37E-08,3.7646494,0.86447084,4.2414846,38.320328,289.27783,22.444702,-11.313447,281.9181,78.46755,8.536782,0.37147054,0.764401,281.65994,0.977189,0.38721284,1.66E-08,0.88049227,7.0337167,0.25480452,53.232277,3.59E-08,0.040373728,1.73E-08,1.98E-09,0.002166044,976.32733,3.42E-08,0.69729817,0.33124584,0.09366579,279.94824,273.08438,0.32497516,1.28E-08,2.03E-08
1960,49.75,6.75,2.72E-08,7.3165827,0.8441685,0.07922846,43.912327,289.0693,23.387444,-10.845037,280.19662,82.35187,8.391101,0.3854239,0.7669851,281.38556,0.9732491,0.38939703,1.99E-08,0.90525013,6.900894,0.27304873,44.527367,4.28E-08,0.016037181,1.38E-08,1.83E-09,4.12E-09,968.0178,3.48E-08,0.6990812,0.25257635,0.09068546,280.5906,272.66525,0.32728478,1.54E-08,2.63E-08
1960,49.75,7.25,2.48E-08,7.254122,0.8217487,6.2487154,31.35072,289.0269,28.585188,-10.046331,281.21588,77.62769,8.277864,0.38101792,0.72292876,281.2314,0.9673341,0.39577276,1.79E-08,0.8585945,6.650616,0.27919444,49.087402,3.73E-08,0.047258623,1.71E-08,1.82E-09,0,954.84314,3.51E-08,0.69960016,0.27702215,0.09794174,279.07785,272.35355,0.3392427,1.21E-08,2.19E-08
1960,50.25,2.25,2.40E-08,-0.30500507,0.8995111,-6.183032,41.394154,289.09467,19.147388,-16.668903,281.80197,78.68404,12.437165,0.37846267,0.78270763,282.75937,0.97190595,0.37955636,1.74E-08,0.92564154,6.3890967,0.287138,42.96234,3.84E-08,0.023556639,1.30E-08,2.33E-09,0.011009947,1048.9839,3.00E-08,0.68877196,0.266984,0.064365596,281.38876,275.96274,0.33220434,1.15E-08,2.47E-08
